model,run,N,Q,K,activation_power,ritz_degree,ritz_ratio,projection_samples,projection_gram_residual,boundary_residual,validation_score,hyperparameter_scores,parameter_covering_radius,parameter_separation,projection_seed,training_seed,system_backend,direct_solver,direct_rcond,manufactured_solution,nu,name,r_c,r_e,abs_u,abs_M,wall_time,rank,columns,condition_estimate,w_h2_error,M_hdivdiv_error,coefficient_ball_active,coefficient_norm,algorithm,hyperparameter,study,configuration
plate,2,400,1604,841,7,7,2.0,3364,2.5343654785253313e-15,0.0,0.0007867542572585652,"{""1e-06"": 4.740709423952981, ""1e-08"": 0.034245863972537975, ""1e-10"": 0.0013258611879526474, ""1e-12"": 0.0007867542572585652, ""1e-14"": 0.003098729315912802}",0.1764912388367556,0.03519211925547657,300023,300031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.00012528705886264704,0.0007791460860808006,1.1081804603593868e-07,5.296005915552236e-06,0.41371203697053716,1032,1604,998979624783.8658,0.00011467119822718048,0.0007791640848586951,False,4570.348283960933,tsvd,1e-12,main,N-400
plate,3,400,1604,841,7,7,2.0,3364,2.5371889883540105e-15,0.0,0.0007893393900281763,"{""100.0"": 66.55542342045, ""1000.0"": 28.323196280556093, ""10000.0"": 8.388948173444808, ""100000.0"": 0.0007893393900281763, ""1000000.0"": 0.0009297903182760264, ""inf"": 0.002099323885389485}",0.1764912388367556,0.03519211925547657,400023,400031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.0001326952674428866,0.0007812654670480329,4.947662585406771e-07,6.496829173113933e-06,0.7823416419851128,1320,1604,99910778712502.47,0.0001172251438629662,0.0007812924796714004,True,2496.8808400008247,ball,100000.0,main,N-400
plate,3,400,1604,841,7,7,2.0,3364,2.5371889883540105e-15,0.0,0.0008138174892500522,"{""1e-05"": 23.116613868697208, ""1e-06"": 4.481578570994581, ""1e-08"": 0.054124809088933266, ""1e-10"": 0.0010198156073998011, ""1e-12"": 0.0008138174892500522, ""1e-14"": 0.0021438799186926896}",0.1764912388367556,0.03519211925547657,400023,400031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.00012982431274395566,0.0008051703425809145,4.6314630937579593e-07,5.022588828615306e-06,0.46652880898909643,1026,1604,976195122161.1367,0.00012179117078153346,0.0008051860076841925,True,4862.777421752026,ridge,1e-12,main,N-400
plate,3,400,1604,841,7,7,2.0,3364,2.5371889883540105e-15,0.0,0.0008433732720712583,"{""1e-06"": 4.7061180942481835, ""1e-08"": 0.03489618076162863, ""1e-10"": 0.0010953115443418612, ""1e-12"": 0.0008433732720712583, ""1e-14"": 0.002099323885389485}",0.1764912388367556,0.03519211925547657,400023,400031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.00012986325771815896,0.0008349728518333242,4.7355095481731683e-07,5.081169321121474e-06,0.4692176390090026,1026,1604,976195122161.1367,0.00012225920564776794,0.0008349883122417608,False,5337.620583867512,tsvd,1e-12,main,N-400
plate,4,400,1604,841,7,7,2.0,3364,3.009184335541785e-15,0.0,0.0007390441071264478,"{""100.0"": 66.322440178999, ""1000.0"": 28.3765635581805, ""10000.0"": 8.398096196136237, ""100000.0"": 0.0007390441071264478, ""1000000.0"": 0.0014603117817656671, ""inf"": 0.004323645211148744}",0.1764912388367556,0.03519211925547657,500023,500031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.0001232684137275244,0.0007301119761700312,3.9466377790961995e-07,4.797033561883832e-06,0.7803527019859757,1326,1604,97806374035684.34,0.00011505197358731421,0.0007301277349052712,True,2496.8808559836493,ball,100000.0,main,N-400
plate,4,400,1604,841,7,7,2.0,3364,3.009184335541785e-15,0.0,0.0007376827750443344,"{""1e-05"": 22.712801173352386, ""1e-06"": 4.366609296183768, ""1e-08"": 0.042805534613311394, ""1e-10"": 0.0009832225286981078, ""1e-12"": 0.0007376827750443344, ""1e-14"": 0.003761238082165666}",0.1764912388367556,0.03519211925547657,500023,500031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.00011587687270798997,0.0007305176199071684,3.6849856173510545e-07,3.6250813888345156e-06,0.42920364101883024,1032,1604,989580320564.7656,0.00011145367280713759,0.0007305266143063576,True,5368.269655511425,ridge,1e-12,main,N-400
plate,4,400,1604,841,7,7,2.0,3364,3.009184335541785e-15,0.0,0.0007515628152251927,"{""1e-06"": 4.641619531793279, ""1e-08"": 0.03334781982869703, ""1e-10"": 0.0010034188605208467, ""1e-12"": 0.0007515628152251927, ""1e-14"": 0.004323645211148744}",0.1764912388367556,0.03519211925547657,500023,500031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.0001170893297854094,0.0007444168422705082,3.686080714796985e-07,3.6456770712522316e-06,0.43217037300928496,1032,1604,989580320564.7656,0.00011303898448362625,0.000744425769313034,False,5767.061270221105,tsvd,1e-12,main,N-400
plate,5,400,1604,841,7,7,2.0,3364,3.9057355655364296e-15,0.0,0.0008012393264175513,"{""100.0"": 66.61115879377496, ""1000.0"": 28.502214608770082, ""10000.0"": 8.40630645293361, ""100000.0"": 0.0008012393264175513, ""1000000.0"": 0.0009925743902316417, ""inf"": 0.004111114948246837}",0.1764912388367556,0.03519211925547657,600023,600031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.0001318013991318881,0.0007928992712140711,2.490571834239907e-07,6.685626348239497e-06,0.7292987580003683,1317,1604,97685923939310.92,0.00011531875870392889,0.0007929274568909021,True,2496.880856002704,ball,100000.0,main,N-400
plate,5,400,1604,841,7,7,2.0,3364,3.9057355655364296e-15,0.0,0.0008148734641027527,"{""1e-05"": 23.157864347004498, ""1e-06"": 4.364048063467878, ""1e-08"": 0.04791660701570899, ""1e-10"": 0.0010193505429311506, ""1e-12"": 0.0008148734641027527, ""1e-14"": 0.006609134525770567}",0.1764912388367556,0.03519211925547657,600023,600031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.00012037881637892694,0.0008080268068902165,2.05944464165664e-07,5.347387215362468e-06,0.40582120200269856,1030,1604,997439536548.2203,0.00010775295737276725,0.0008080445007567531,True,5016.472721460265,ridge,1e-12,main,N-400
plate,5,400,1604,841,7,7,2.0,3364,3.9057355655364296e-15,0.0,0.0008091269093312008,"{""1e-06"": 4.704166678030098, ""1e-08"": 0.033430014273275195, ""1e-10"": 0.0011134169831040778, ""1e-12"": 0.0008091269093312008, ""1e-14"": 0.004111114948246837}",0.1764912388367556,0.03519211925547657,600023,600031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.00012306174514722525,0.000801897105500916,1.783541709979175e-07,5.499377145042787e-06,0.4084973529970739,1030,1604,997439536548.2203,0.00010908510894737928,0.0008019159625295725,False,5483.4772908487075,tsvd,1e-12,main,N-400
